,precision,recall,f1-score,support
Normal,0.6506538196834136,0.9735351663062507,0.7800008250484716,9711.0
DoS,0.9603757472245944,0.7539554840439796,0.8447382257943363,7458.0
Probe,0.8463870641738251,0.6918628665840562,0.7613636363636364,2421.0
R2L,0.9580838323353293,0.05542085209560097,0.10478061558611657,2887.0
U2R,0.6153846153846154,0.11940298507462686,0.2,67.0
