,precision,recall,f1-score,support
Normal,0.6935626102292769,0.9718875502008032,0.8094686736137914,9711.0
DoS,0.9641313050440352,0.8073209975864843,0.8787856673721083,7458.0
Probe,0.8209291835814163,0.7517554729450641,0.7848210435532557,2421.0
R2L,0.9818181818181818,0.1496363006581226,0.25969341749323716,2887.0
U2R,0.6470588235294118,0.3283582089552239,0.43564356435643564,67.0
