,precision,recall,f1-score,support
Normal,0.7191238279987068,0.916177530635362,0.8057782004256668,9711.0
DoS,0.9785468211713122,0.8378921962992759,0.902773764807859,7458.0
Probe,0.7093918398768283,0.7612556794712928,0.7344092448694959,2421.0
R2L,0.7178807947019867,0.1877381364738483,0.29763866007688083,2887.0
U2R,0.07621247113163972,0.4925373134328358,0.132,67.0
